States,Region,Latitude,Longitude,Date,Day,Type of Day,Month,Season,Period,Electricity Consumed
Punjab,NR,31.51997398,75.98000281,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,109.2
Haryana,NR,28.45000633,77.01999101,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,123.4
Rajasthan,NR,26.44999921,74.63998124,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,238.3
Delhi,NR,28.6699929,77.23000403,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,69.6
UP,NR,27.59998069,78.05000565,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,295.0
Uttarakhand,NR,30.32040895,78.05000565,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,37.4
HP,NR,31.10002545,77.16659704,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,30.4
J&K,NR,33.45,76.24,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,51.6
Chandigarh,NR,30.71999697,76.78000565,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,3.8
Chhattisgarh,WR,22.09042035,82.15998734,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,75.9
Gujarat,WR,22.2587,71.1924,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,312.4
MP,WR,21.30039105,76.13001949,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,257.8
Maharashtra,WR,19.25023195,73.16017493,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,385.7
Goa,WR,15.491997,73.81800065,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,9.0
DD,WR,20.4283,72.8397,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,5.8
DNH,WR,20.26657819,73.01661779999999,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,15.6
Andhra Pradesh,WR,14.7504291,78.57002559,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,155.6
Telangana,SR,18.1124,79.0193,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,178.6
Karnataka,SR,12.57038129,76.91999711,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,199.3
Kerala,SR,8.900372741,76.56999263,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,68.1
Tamil Nadu,SR,12.92038576,79.15004187,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,270.0
Pondy,SR,11.93499371,79.83000037,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,6.8
Bihar,SR,25.78541445,87.4799727,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,77.6
DVC,ER,22.4975,88.3527,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,66.4
Jharkhand,ER,23.80039349,86.41998572,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,25.2
Odisha,ER,19.82042971,85.90001746,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,70.5
West Bengal,ER,22.58039044,88.32994665,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,104.7
Sikkim,ER,27.3333303,88.6166475,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,1.3
Arunachal Pradesh,ER,27.10039878,93.61660071,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,2.3
Assam,NER,26.7499809,94.21666744,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,23.2
Manipur,NER,24.79997072,93.95001705,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,2.7
Meghalaya,NER,25.57049217,91.8800142,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,6.6
Mizoram,NER,23.71039899,92.72001461,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,1.6
Nagaland,NER,25.6669979,94.11657019,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,2.1
Tripura,NER,23.83540428,91.27999914,2019-01-01,Tuesday,Working,1,WINTER,pre-Covid-Lockdown,3.5
Punjab,NR,31.51997398,75.98000281,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,108.0
Haryana,NR,28.45000633,77.01999101,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,125.5
Rajasthan,NR,26.44999921,74.63998124,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,239.8
Delhi,NR,28.6699929,77.23000403,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,69.0
UP,NR,27.59998069,78.05000565,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,285.2
Uttarakhand,NR,30.32040895,78.05000565,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,38.2
HP,NR,31.10002545,77.16659704,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,30.6
J&K,NR,33.45,76.24,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,44.8
Chandigarh,NR,30.71999697,76.78000565,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,3.8
Chhattisgarh,WR,22.09042035,82.15998734,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,75.4
Gujarat,WR,22.2587,71.1924,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,315.8
MP,WR,21.30039105,76.13001949,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,258.8
Maharashtra,WR,19.25023195,73.16017493,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,400.5
Goa,WR,15.491997,73.81800065,2019-01-02,Wednesday,Working,1,WINTER,pre-Covid-Lockdown,8.7
